observedRate,empirical p-value,theoretical p-value
0.1,0.45199,0.5
0.11,0.327816,0.369441340181764
0.08,0.721389,0.747507462453077
0.12,0.225768,0.252492537546923
0.16,0.031779,0.0227501319481792
0.15,0.05492,0.0477903522728148
0.09,0.587612,0.630558659818236
0.08,0.722561,0.747507462453077
0.09,0.587266,0.630558659818236
0.14,0.091874,0.0912112197258679
0.13,0.14745,0.158655253931457
0.12,0.225772,0.252492537546923
0.18,0.009198,0.00383038056758978
0.1,0.45117,0.5
0.14,0.091984,0.0912112197258679
0.11,0.327596,0.369441340181764
0.09,0.587451,0.630558659818236
0.14,0.092842,0.0912112197258679
0.08,0.722143,0.747507462453077
0.15,0.055049,0.0477903522728148
0.11,0.328205,0.369441340181764
0.15,0.055302,0.0477903522728148
0.19,0.004696,0.0013498980316301
0.06,0.922321,0.908788780274132
0.12,0.224828,0.252492537546923
0.06,0.922625,0.908788780274132
0.14,0.091946,0.0912112197258679
0.13,0.148166,0.158655253931457
0.13,0.147692,0.158655253931457
0.11,0.328136,0.369441340181764
0.14,0.092728,0.0912112197258679
0.06,0.922541,0.908788780274132
0.08,0.722194,0.747507462453077
0.1,0.451305,0.5
0.13,0.147394,0.158655253931457
0.1,0.451887,0.5
0.1,0.451229,0.5
0.14,0.092725,0.0912112197258679
0.13,0.148359,0.158655253931457
0.16,0.031578,0.0227501319481792
0.07,0.838648,0.841344746068543
0.1,0.450713,0.5
0.06,0.922826,0.908788780274132
0.17,0.017821,0.00981532862864531
0.16,0.031934,0.0227501319481792
0.1,0.451357,0.5
0.09,0.586921,0.630558659818236
0.11,0.327536,0.369441340181764
0.07,0.837944,0.841344746068543
0.14,0.092073,0.0912112197258679
0.12,0.225786,0.252492537546923
0.14,0.092318,0.0912112197258679
0.11,0.327834,0.369441340181764
0.12,0.225588,0.252492537546923
0.06,0.922491,0.908788780274132
0.12,0.225628,0.252492537546923
0.14,0.092399,0.0912112197258679
0.18,0.009302,0.00383038056758978
0.11,0.327794,0.369441340181764
0.06,0.922561,0.908788780274132
0.07,0.83745,0.841344746068543
0.13,0.148181,0.158655253931457
0.09,0.587245,0.630558659818236
0.11,0.327574,0.369441340181764
0.12,0.226435,0.252492537546923
0.11,0.328028,0.369441340181764
0.12,0.225904,0.252492537546923
0.1,0.451246,0.5
0.09,0.587802,0.630558659818236
0.07,0.838307,0.841344746068543
0.09,0.587408,0.630558659818236
0.18,0.009138,0.00383038056758978
0.07,0.838303,0.841344746068543
0.12,0.22546,0.252492537546923
0.14,0.09203,0.0912112197258679
0.1,0.45155,0.5
0.15,0.055078,0.0477903522728148
0.08,0.722143,0.747507462453077
0.09,0.587484,0.630558659818236
0.16,0.031401,0.0227501319481792
0.18,0.009316,0.00383038056758978
0.13,0.148087,0.158655253931457
0.17,0.017383,0.00981532862864531
0.13,0.148059,0.158655253931457
0.08,0.721517,0.747507462453077
0.11,0.327762,0.369441340181764
0.16,0.031333,0.0227501319481792
0.12,0.225669,0.252492537546923
0.15,0.054884,0.0477903522728148
0.07,0.837273,0.841344746068543
0.12,0.22542,0.252492537546923
0.12,0.226083,0.252492537546923
0.1,0.451357,0.5
0.09,0.587883,0.630558659818236
